Resonance Deviation (nm),Concentration (uM),Defect Layer Thickness Deviation (%),,,,,,,
2.302302302,0.001,1,,,,,,,
2.202202202,0.001206793,1,,,,,,,
2.302302302,0.001456348,1,,,,,,,
2.202202202,0.001757511,1,,,,,,,
2.302302302,0.002120951,1,,,,,,,
2.302302302,0.002559548,1,,,,,,,
2.202202202,0.003088844,1,,,,,,,
2.302302302,0.003727594,1,,,,,,,
2.202202202,0.004498433,1,,,,,,,
2.302302302,0.005428675,1,,,,,,,
2.202202202,0.006551286,1,,,,,,,
2.302302302,0.007906043,1,,,,,,,
2.202202202,0.009540955,1,,,,,,,
2.202202202,0.011513954,1,,,,,,,
2.202202202,0.013894955,1,,,,,,,
2.102102102,0.016768329,1,,,,,,,
2.102102102,0.020235896,1,,,,,,,
2.102102102,0.024420531,1,,,,,,,
2.102102102,0.029470517,1,,,,,,,
2.002002002,0.035564803,1,,,,,,,
2.002002002,0.042919343,1,,,,,,,
2.002002002,0.051794747,1,,,,,,,
2.002002002,0.062505519,1,,,,,,,
1.901901902,0.075431201,1,,,,,,,
1.901901902,0.091029818,1,,,,,,,
1.901901902,0.109854114,1,,,,,,,
1.901901902,0.132571137,1,,,,,,,
1.901901902,0.159985872,1,,,,,,,
1.901901902,0.193069773,1,,,,,,,
1.901901902,0.232995181,1,,,,,,,
1.801801802,0.28117687,1,,,,,,,
1.901901902,0.339322177,1,,,,,,,
1.801801802,0.409491506,1,,,,,,,
1.801801802,0.494171336,1,,,,,,,
1.801801802,0.596362332,1,,,,,,,
1.801801802,0.719685673,1,,,,,,,
1.801801802,0.868511374,1,,,,,,,
1.801801802,1.048113134,1,,,,,,,
1.801801802,1.264855217,1,,,,,,,
1.801801802,1.526417967,1,,,,,,,
1.801801802,1.842069969,1,,,,,,,
1.801801802,2.222996483,1,,,,,,,
1.801801802,2.682695795,1,,,,,,,
1.801801802,3.237457543,1,,,,,,,
1.901901902,3.906939937,1,,,,,,,
1.801801802,4.714866363,1,,,,,,,
1.801801802,5.689866029,1,,,,,,,
1.801801802,6.86648845,1,,,,,,,
1.801801802,8.286427729,1,,,,,,,
1.801801802,10,1,,,,,,,
4.504504505,0.001,2,,,,,,,
4.504504505,0.001206793,2,,,,,,,
4.604604605,0.001456348,2,,,,,,,
4.504504505,0.001757511,2,,,,,,,
4.604604605,0.002120951,2,,,,,,,
4.604604605,0.002559548,2,,,,,,,
4.504504505,0.003088844,2,,,,,,,
4.504504505,0.003727594,2,,,,,,,
4.504504505,0.004498433,2,,,,,,,
4.504504505,0.005428675,2,,,,,,,
4.404404404,0.006551286,2,,,,,,,
4.404404404,0.007906043,2,,,,,,,
4.404404404,0.009540955,2,,,,,,,
4.404404404,0.011513954,2,,,,,,,
4.304304304,0.013894955,2,,,,,,,
4.204204204,0.016768329,2,,,,,,,
4.204204204,0.020235896,2,,,,,,,
4.104104104,0.024420531,2,,,,,,,
4.104104104,0.029470517,2,,,,,,,
4.004004004,0.035564803,2,,,,,,,
3.903903904,0.042919343,2,,,,,,,
3.903903904,0.051794747,2,,,,,,,
3.903903904,0.062505519,2,,,,,,,
3.703703704,0.075431201,2,,,,,,,
3.803803804,0.091029818,2,,,,,,,
3.803803804,0.109854114,2,,,,,,,
3.703703704,0.132571137,2,,,,,,,
3.703703704,0.159985872,2,,,,,,,
3.703703704,0.193069773,2,,,,,,,
3.703703704,0.232995181,2,,,,,,,
3.603603604,0.28117687,2,,,,,,,
3.703703704,0.339322177,2,,,,,,,
3.603603604,0.409491506,2,,,,,,,
3.603603604,0.494171336,2,,,,,,,
3.503503504,0.596362332,2,,,,,,,
3.603603604,0.719685673,2,,,,,,,
3.603603604,0.868511374,2,,,,,,,
3.603603604,1.048113134,2,,,,,,,
3.603603604,1.264855217,2,,,,,,,
3.503503504,1.526417967,2,,,,,,,
3.603603604,1.842069969,2,,,,,,,
3.503503504,2.222996483,2,,,,,,,
3.503503504,2.682695795,2,,,,,,,
3.603603604,3.237457543,2,,,,,,,
3.603603604,3.906939937,2,,,,,,,
3.503503504,4.714866363,2,,,,,,,
3.503503504,5.689866029,2,,,,,,,
3.603603604,6.86648845,2,,,,,,,
3.603603604,8.286427729,2,,,,,,,
3.603603604,10,2,,,,,,,
6.806806807,0.001,3,,,,,,,
6.806806807,0.001206793,3,,,,,,,
6.806806807,0.001456348,3,,,,,,,
6.806806807,0.001757511,3,,,,,,,
6.806806807,0.002120951,3,,,,,,,
6.806806807,0.002559548,3,,,,,,,
6.706706707,0.003088844,3,,,,,,,
6.806806807,0.003727594,3,,,,,,,
6.706706707,0.004498433,3,,,,,,,
6.706706707,0.005428675,3,,,,,,,
6.606606607,0.006551286,3,,,,,,,
6.606606607,0.007906043,3,,,,,,,
6.506506507,0.009540955,3,,,,,,,
6.506506507,0.011513954,3,,,,,,,
6.306306306,0.013894955,3,,,,,,,
6.306306306,0.016768329,3,,,,,,,
6.206206206,0.020235896,3,,,,,,,
6.106106106,0.024420531,3,,,,,,,
6.006006006,0.029470517,3,,,,,,,
5.905905906,0.035564803,3,,,,,,,
5.805805806,0.042919343,3,,,,,,,
5.805805806,0.051794747,3,,,,,,,
5.705705706,0.062505519,3,,,,,,,
5.605605606,0.075431201,3,,,,,,,
5.605605606,0.091029818,3,,,,,,,
5.505505506,0.109854114,3,,,,,,,
5.505505506,0.132571137,3,,,,,,,
5.405405405,0.159985872,3,,,,,,,
5.405405405,0.193069773,3,,,,,,,
5.405405405,0.232995181,3,,,,,,,
5.305305305,0.28117687,3,,,,,,,
5.405405405,0.339322177,3,,,,,,,
5.305305305,0.409491506,3,,,,,,,
5.305305305,0.494171336,3,,,,,,,
5.305305305,0.596362332,3,,,,,,,
5.305305305,0.719685673,3,,,,,,,
5.305305305,0.868511374,3,,,,,,,
5.305305305,1.048113134,3,,,,,,,
5.305305305,1.264855217,3,,,,,,,
5.205205205,1.526417967,3,,,,,,,
5.305305305,1.842069969,3,,,,,,,
5.205205205,2.222996483,3,,,,,,,
5.205205205,2.682695795,3,,,,,,,
5.305305305,3.237457543,3,,,,,,,
5.305305305,3.906939937,3,,,,,,,
5.205205205,4.714866363,3,,,,,,,
5.205205205,5.689866029,3,,,,,,,
5.305305305,6.86648845,3,,,,,,,
5.305305305,8.286427729,3,,,,,,,
5.305305305,10,3,,,,,,,
9.009009009,0.001,4,,,,,,,
9.009009009,0.001206793,4,,,,,,,
9.009009009,0.001456348,4,,,,,,,
9.009009009,0.001757511,4,,,,,,,
9.009009009,0.002120951,4,,,,,,,
9.009009009,0.002559548,4,,,,,,,
8.908908909,0.003088844,4,,,,,,,
9.009009009,0.003727594,4,,,,,,,
8.908908909,0.004498433,4,,,,,,,
8.908908909,0.005428675,4,,,,,,,
8.808808809,0.006551286,4,,,,,,,
8.708708709,0.007906043,4,,,,,,,
8.608608609,0.009540955,4,,,,,,,
8.508508509,0.011513954,4,,,,,,,
8.408408408,0.013894955,4,,,,,,,
8.308308308,0.016768329,4,,,,,,,
8.208208208,0.020235896,4,,,,,,,
8.008008008,0.024420531,4,,,,,,,
7.907907908,0.029470517,4,,,,,,,
7.707707708,0.035564803,4,,,,,,,
7.707707708,0.042919343,4,,,,,,,
7.607607608,0.051794747,4,,,,,,,
7.507507508,0.062505519,4,,,,,,,
7.307307307,0.075431201,4,,,,,,,
7.307307307,0.091029818,4,,,,,,,
7.307307307,0.109854114,4,,,,,,,
7.207207207,0.132571137,4,,,,,,,
7.107107107,0.159985872,4,,,,,,,
7.107107107,0.193069773,4,,,,,,,
7.107107107,0.232995181,4,,,,,,,
7.007007007,0.28117687,4,,,,,,,
7.107107107,0.339322177,4,,,,,,,
7.007007007,0.409491506,4,,,,,,,
7.007007007,0.494171336,4,,,,,,,
6.906906907,0.596362332,4,,,,,,,
6.906906907,0.719685673,4,,,,,,,
7.007007007,0.868511374,4,,,,,,,
6.906906907,1.048113134,4,,,,,,,
6.906906907,1.264855217,4,,,,,,,
6.906906907,1.526417967,4,,,,,,,
6.906906907,1.842069969,4,,,,,,,
6.906906907,2.222996483,4,,,,,,,
6.906906907,2.682695795,4,,,,,,,
6.906906907,3.237457543,4,,,,,,,
7.007007007,3.906939937,4,,,,,,,
6.906906907,4.714866363,4,,,,,,,
6.906906907,5.689866029,4,,,,,,,
6.906906907,6.86648845,4,,,,,,,
6.906906907,8.286427729,4,,,,,,,
6.906906907,10,4,,,,,,,
11.21121121,0.001,5,,,,,,,
11.21121121,0.001206793,5,,,,,,,
11.21121121,0.001456348,5,,,,,,,
11.21121121,0.001757511,5,,,,,,,
11.21121121,0.002120951,5,,,,,,,
11.21121121,0.002559548,5,,,,,,,
11.11111111,0.003088844,5,,,,,,,
11.11111111,0.003727594,5,,,,,,,
11.01101101,0.004498433,5,,,,,,,
11.01101101,0.005428675,5,,,,,,,
10.91091091,0.006551286,5,,,,,,,
10.81081081,0.007906043,5,,,,,,,
10.71071071,0.009540955,5,,,,,,,
10.61061061,0.011513954,5,,,,,,,
10.41041041,0.013894955,5,,,,,,,
10.21021021,0.016768329,5,,,,,,,
10.11011011,0.020235896,5,,,,,,,
9.90990991,0.024420531,5,,,,,,,
9.80980981,0.029470517,5,,,,,,,
9.60960961,0.035564803,5,,,,,,,
9.50950951,0.042919343,5,,,,,,,
9.309309309,0.051794747,5,,,,,,,
9.209209209,0.062505519,5,,,,,,,
9.009009009,0.075431201,5,,,,,,,
