Angle (deg),Concentration (uM),Figure of Merit (uM^-1)
0,0.0011033963203196644,21682.217491095365
0,0.0013315705590702866,20140.282565031477
0,0.0016069295511780177,18435.024960205883
0,0.001939230756387491,16624.333232944155
0,0.002340249405309863,14718.55057135785
0,0.0028241957595885087,12815.0773448343
0,0.0034082186583962097,10930.870113261604
0,0.004113013194642191,9099.138268891533
0,0.004963554054146652,7399.953591790112
0,0.005989980503959684,5879.069228628869
0,0.007228664389751605,4554.800302260331
0,0.008723498987203822,3449.8647676789224
0,0.010527454378382206,2559.348021102484
0,0.012704454468497921,1860.2774337461901
0,0.015331642155920724,1331.1345506777384
0,0.018502112922680822,939.208223586409
0,0.02232821371136904,654.6481967438481
0,0.026945523985502304,452.8897895872886
0,0.032517660043874685,311.1632285066451
0,0.039242072831759525,213.00194397334272
0,0.04735704469679993,145.3418384285694
0,0.057150133022525904,99.07669725487241
0,0.06896835994314293,67.47656643558393
0,0.08323050921634917,45.97068238911844
0,0.100441965998954,31.28770932969896
0,0.12121262537888333,21.341180600810322
0,0.14627850425980826,14.56567785555466
0,0.17652782242446535,9.943786862291827
0,0.21303247696993108,6.781702919101506
0,0.25708602542448,4.638647067216675
0,0.3102495234934777,3.180906986887314
0,0.37440684171378746,2.1753582039326305
0,0.4518314211852128,1.4831907159080209
0,0.5452668338959238,1.0189493879902531
0,0.6580240023303079,0.6984748611073055
0,0.7940985233762516,0.4806571875353301
0,0.9583122539530187,0.3282455819977418
0,1.1564841755049904,0.2230519862551742
0,1.3956365920152638,0.1563080203427195
0,1.6842439682509731,0.10608493861675998
0,2.032533225926454,0.07178278978314244
0,2.452846138902959,0.05013708162850133
0,2.960076669048684,0.03385281080566605
0,3.572198739936128,0.023503663128850594
0,4.310903150256001,0.016465651116067813
0,5.202366196237842,0.011154178880065029
0,6.278177239530645,0.007183929930093438
0,7.5764580892949205,0.005524865357187822
0,9.14321386427342,0.0035193085266498635
10,0.0011033963203196644,24744.670382380307
10,0.0013315705590702866,22942.566955530758
10,0.0016069295511780177,20999.840973713995
10,0.001939230756387491,18929.31593523536
10,0.002340249405309863,16751.969833487587
10,0.0028241957595885087,14542.577780798165
10,0.0034082186583962097,12365.425358756593
10,0.004113013194642191,10274.225223650177
10,0.004963554054146652,8348.64406483268
10,0.005989980503959684,6618.824645762738
10,0.007228664389751605,5121.874687681316
10,0.008723498987203822,3867.345292123632
10,0.010527454378382206,2859.251758873742
10,0.012704454468497921,2075.006403059616
10,0.015331642155920724,1480.1439215560367
10,0.018502112922680822,1041.1184302688996
10,0.02232821371136904,724.1373163847489
10,0.026945523985502304,499.37215055296286
10,0.032517660043874685,342.6340755963448
10,0.039242072831759525,233.99253269464998
10,0.04735704469679993,159.35788664873039
10,0.057150133022525904,108.44088361195358
10,0.06896835994314293,73.69196553049584
10,0.08323050921634917,50.19844880812018
10,0.100441965998954,34.140659834666636
10,0.12121262537888333,23.235840322366425
10,0.14627850425980826,15.83659729137609
10,0.17652782242446535,10.80568234353833
10,0.21303247696993108,7.379382374702259
