No of period,Figure of Merit (uM^-1),Concentration (uM)
2,116.20530317894595,0.0011033963203196644
2,111.47994505596053,0.0013315705590702866
2,106.12409761492707,0.0016069295511780177
2,100.12648585097712,0.001939230756387491
2,93.50873672280036,0.002340249405309863
2,86.30055533438606,0.0028241957595885087
2,78.61494706547568,0.0034082186583962097
2,70.57725473871137,0.004113013194642191
2,62.35752384635821,0.004963554054146652
2,54.15928572915542,0.005989980503959684
2,46.202223796161206,0.007228664389751605
2,38.68373603920039,0.008723498987203822
2,31.784615936538543,0.010527454378382206
2,25.6336633199193,0.012704454468497921
2,20.30133304258202,0.015331642155920724
2,15.803186777519311,0.018502112922680822
2,12.105553948339178,0.02232821371136904
2,9.1378519747854,0.026945523985502304
2,6.805972113943178,0.032517660043874685
2,5.009439537803601,0.039242072831759525
2,3.6488520803733144,0.04735704469679993
2,2.6337667808387755,0.057150133022525904
2,1.8865167860221206,0.06896835994314293
2,1.3419360908840494,0.08323050921634917
2,0.9492160005880147,0.100441965998954
2,0.6681027521182147,0.12121262537888333
2,0.4684569338372091,0.14627850425980826
2,0.32719647600620566,0.17652782242446535
2,0.2279642270148232,0.21303247696993108
2,0.15843095366858173,0.25708602542448
2,0.10986382750746752,0.3102495234934777
2,0.07608379545872092,0.37440684171378746
2,0.052587216053108295,0.4518314211852128
2,0.03633532430627722,0.5452668338959238
2,0.025057431969682766,0.6580240023303079
2,0.017265187192002457,0.7940985233762516
2,0.011910105642958756,0.9583122539530187
2,0.00819234484206031,1.1564841755049904
2,0.005636423513361008,1.3956365920152638
2,0.003875864303338842,1.6842439682509731
2,0.0026673926000628807,2.032533225926454
2,0.0018339022874797298,2.452846138902959
2,0.0012612476237476623,2.960076669048684
2,0.0008684745905340861,3.572198739936128
2,0.0005958507998706907,4.310903150256001
2,0.00040751032187063716,5.202366196237842
2,0.0002816850830131446,6.278177239530645
2,0.00019342669973674792,7.5764580892949205
2,0.0001324522904378808,9.14321386427342
4,686.593173422885,0.0013315705590702866
