Angle (deg),Concentration (uM),Quality Factor
0,0.001,3523.8739175503797
0,0.0012067926406393288,3418.4385692126857
0,0.0014563484775012444,3299.435035411559
0,0.0017575106248547913,3166.140440742605
0,0.0021209508879201904,3019.9421219308347
0,0.002559547922699536,2859.616083647916
0,0.0030888435964774815,2688.424090531183
0,0.003727593720314938,2509.670329949279
0,0.004498432668969444,2324.7945025568715
0,0.005428675439323859,2139.8394256911524
0,0.006551285568595509,1958.050730255427
0,0.0079060432109077,1783.7369943248377
0,0.009540954763499945,1620.123636718714
0,0.01151395399326447,1470.333966752101
0,0.013894954943731374,1335.6373453877986
0,0.016768329368110076,1216.7937448563735
0,0.020235896477251564,1113.5725550748937
0,0.02442053094548651,1024.971485685839
0,0.029470517025518096,949.8816238575041
0,0.03556480306223128,886.5885238757011
0,0.04291934260128776,833.628197335923
0,0.0517947467923121,789.5035941048562
0,0.0625055192527397,752.830844267555
0,0.07543120063354615,722.4367682480123
0,0.09102981779915217,697.2763099141606
0,0.10985411419875583,676.4670456222443
0,0.13257113655901082,659.2321200234529
0,0.15998587196060574,645.031684516879
0,0.19306977288832497,633.2302563503845
0,0.2329951810515372,623.4999152991358
0,0.2811768697974228,615.4440732642629
0,0.3393221771895326,608.801082634854
0,0.4094915062380423,603.274123980565
0,0.49417133613238334,598.7434398193587
0,0.5963623316594643,594.9559318409069
0,0.7196856730011514,591.8151423269027
0,0.868511373751352,589.2289009587386
0,1.0481131341546852,587.1145758138945
0,1.2648552168552958,585.3236291341726
0,1.5264179671752318,583.8631325489988
0,1.8420699693267144,582.6593977461323
0,2.2229964825261934,581.6216661948133
0,2.6826957952797246,580.8105824646333
0,3.2374575428176433,580.1217522822456
0,3.906939937054613,579.5233627353832
0,4.714866363457389,579.068086087521
0,5.689866029018293,578.6454908071288
0,6.866488450042998,578.3223289577663
0,8.286427728546842,578.0555279571684
0,10.0,577.8452987188268
10,0.001,3893.022560575316
10,0.0012067926406393288,3775.321849057074
10,0.0014563484775012444,3641.061529827762
10,0.0017575106248547913,3491.133676543488
10,0.0021209508879201904,3326.9259128555195
10,0.002559547922699536,3147.2260697185993
10,0.0030888435964774815,2954.664392828528
10,0.003727593720314938,2753.323782927822
10,0.004498432668969444,2547.0006157914922
10,0.005428675439323859,2339.8633610318575
10,0.006551285568595509,2136.3704059678194
10,0.0079060432109077,1941.5953443745077
10,0.009540954763499945,1759.5787761834292
10,0.01151395399326447,1592.6419868151843
10,0.013894954943731374,1443.3387177437992
10,0.016768329368110076,1311.5276264677852
10,0.020235896477251564,1197.429787228098
10,0.02442053094548651,1099.751063991421
10,0.029470517025518096,1016.9523248864239
