n_mip_polymer,Concentration (uM),Quality Factor
1.45,0.001,10258.67320070082
1.45,0.0012067926406393288,9866.443929015993
1.45,0.0014563484775012444,9559.659407004068
1.45,0.0017575106248547913,9154.679696335981
1.45,0.0021209508879201904,8682.866110854913
1.45,0.002559547922699536,8034.597642031757
1.45,0.0030888435964774815,7480.426106097641
1.45,0.003727593720314938,6778.6272641940295
1.45,0.004498432668969444,6070.172162267014
1.45,0.005428675439323859,5315.011070681833
1.45,0.006551285568595509,4575.992171705578
1.45,0.0079060432109077,3877.7717517419155
1.45,0.009540954763499945,3233.253785611388
1.45,0.01151395399326447,2670.7618585958785
1.45,0.013894954943731374,2212.077587632559
1.45,0.016768329368110076,1827.2592681250576
1.45,0.020235896477251564,1521.2820764585783
1.45,0.02442053094548651,1280.7466620552989
1.45,0.029470517025518096,1094.4823443743974
1.45,0.03556480306223128,950.5161424318561
1.45,0.04291934260128776,839.2605570706376
1.45,0.0517947467923121,752.8266956476486
1.45,0.0625055192527397,686.3914504913985
1.45,0.07543120063354615,633.6894326427032
1.45,0.09102981779915217,591.753438609911
1.45,0.10985411419875583,558.6781686805062
1.45,0.13257113655901082,532.4597244281359
1.45,0.15998587196060574,511.5782634629764
1.45,0.19306977288832497,494.4464047083112
1.45,0.2329951810515372,480.82307266942576
1.45,0.2811768697974228,469.38118537261806
1.45,0.3393221771895326,460.5382190744887
1.45,0.4094915062380423,453.04198545184886
1.45,0.49417133613238334,447.32129918117624
1.45,0.5963623316594643,442.2366687408572
1.45,0.7196856730011514,438.176476517754
1.45,0.868511373751352,434.8493189231092
1.45,1.0481131341546852,432.08133469859865
1.45,1.2648552168552958,429.84834855676536
1.45,1.5264179671752318,427.95753357358154
1.45,1.8420699693267144,426.4194552218211
1.45,2.2229964825261934,425.1299921695311
1.45,2.6826957952797246,424.22429889858023
1.45,3.2374575428176433,423.08799510913
1.45,3.906939937054613,422.3800452835384
1.45,4.714866363457389,422.0342839599363
1.45,5.689866029018293,421.27573559605116
1.45,6.866488450042998,420.9523627459366
1.45,8.286427728546842,420.55289918333386
1.45,10.0,420.53320337565617
1.46,0.001,8702.429167226064
1.46,0.0012067926406393288,8387.71381564178
1.46,0.0014563484775012444,8110.655950495006
1.46,0.0017575106248547913,7673.721487502977
1.46,0.0021209508879201904,7270.433258742036
1.46,0.002559547922699536,6786.4917249941345
1.46,0.0030888435964774815,6283.508095090994
1.46,0.003727593720314938,5720.444496851821
1.46,0.004498432668969444,5093.123464914037
1.46,0.005428675439323859,4500.488306896111
1.46,0.006551285568595509,3898.7695256541556
1.46,0.0079060432109077,3351.5810901331574
1.46,0.009540954763499945,2847.5544922667036
1.46,0.01151395399326447,2394.0067201103784
1.46,0.013894954943731374,2021.3035909186701
1.46,0.016768329368110076,1705.6441369406489
1.46,0.020235896477251564,1448.857944751325
1.46,0.02442053094548651,1245.3415974876314
1.46,0.029470517025518096,1085.3891031532396
1.46,0.03556480306223128,956.0750526839811
1.46,0.04291934260128776,857.0847934699785
1.46,0.0517947467923121,777.4805764411811
1.46,0.0625055192527397,714.510530964296
1.46,0.07543120063354615,664.9592394193772
1.46,0.09102981779915217,625.935801172673
1.46,0.10985411419875583,594.2234314429896
1.46,0.13257113655901082,568.6061951965297
